GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
support-api,support.service,TicketService,6,80,1,10,1,16,2,11,1,6
support-api,support.model,Status,0,21,0,0,0,2,0,1,0,1
support-api,support.model,Ticket,0,31,0,0,0,11,0,6,0,6
support-api,support.model,Priority,0,21,0,0,0,2,0,1,0,1
support-api,support.controller,TicketController,0,36,0,0,0,8,0,5,0,5
support-api,support.controller,GlobalExceptionHandler,0,39,0,0,0,10,0,5,0,5
support-api,support.exception,InvalidStatusTransitionException,0,8,0,0,0,2,0,1,0,1
support-api,support.exception,TicketNotFoundException,0,5,0,0,0,2,0,1,0,1
support-api,support.dto,CreateTicketRequest,0,26,0,0,0,9,0,6,0,6
support-api,support.dto,UpdateStatusRequest,0,16,0,0,0,6,0,4,0,4
support-api,support.repository,TicketRepository,7,28,0,0,1,7,1,4,1,4
support-api,support,SupportApplication,5,3,0,0,2,1,1,1,1,1
