GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bowling-tdd,bowling,Roll,0,9,0,0,0,4,0,2,0,2
bowling-tdd,bowling,Frame,0,169,2,32,0,34,2,22,0,7
