GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
boutique-bdd,boutique.service,OrderService,5,82,0,0,0,21,1,7,1,7
boutique-bdd,boutique.service,UserService,0,52,0,2,0,11,0,7,0,6
boutique-bdd,boutique.service,ProductService,0,21,0,0,0,6,0,4,0,4
boutique-bdd,boutique.model,Product,3,24,0,0,1,9,1,4,1,4
boutique-bdd,boutique.model,User,6,15,0,0,2,6,2,2,2,2
boutique-bdd,boutique.model,Order,15,105,0,2,3,26,4,12,4,11
boutique-bdd,boutique.model,OrderItem,0,29,0,0,0,8,0,5,0,5
